,2083
London,381
United Kingdom,201
"London, England",165
UK,162
"England, United Kingdom",122
"London, UK",68
Scotland,54
Europe,50
England,47
Spain,39
"Scotland, United Kingdom",36
"Manchester, England",28
Global,27
"South East, England",27
"North West, England",26
Edinburgh,25
"Glasgow, Scotland",25
United States,24
Glasgow,24
EU,23
Belgium,22
jakarta,22
Brussels,21
"Brussels, Belgium",21
London UK,21
Manchester,21
"Kent, UK",19
"Inverness, Scotland",18
UK Hull,17
london,17
U.K.,17
"Washington, DC",16
"Cambridge, England",16
Earth,16
"South West, England",16
London ,15
Berlin,15
France,15
"York and Congleton, England",15
Kent,15
Germany,14
"London, United Kingdom",14
London x Paris,14
North London,13
"Edinburgh, Scotland",13
Cornwall,13
Taunton Somerset ,13
"Manchester, UK",13
"East Midlands, England",13
London:Paris:Chile:Rome:Koln,12
k,12
Frinton-On-Sea,12
A small island off Europe,12
Americas | UK | Ireland,12
Planet Earth,11
-European-,11
Worcestershire,11
European Union,11
Somerset,11
"New York, USA",11
FIRE is multi-national,11
South Wales,11
"West Midlands, England",10
"Bristol, England",10
Barcelona,10
UK 🇪🇺,10
"Dublin City, Ireland",10
"Paris, France",10
Nigeria,10
united kingdom,10
Wherever news breaks (Global),10
"Lambeth, London",9
Ireland,9
Dublin,9
"Liverpool, England",9
"Sheffield, England",9
España,9
"Oxford, England",9
Paris,9
"Wales, United Kingdom",9
Everywhere,9
NAPLES/ITALY,8
"Perivale, West London",8
"Bandung, Indonesia",8
Monaco,8
OUT OF THE EU ?????????????,8
"Warrington, Cheshire.",8
Yorkshire,8
Liverpool,8
"Nottingham, England",8
"Bordeaux, France; Downton, Eng",8
USA,8
"Leeds, England",8
Derry,8
Somewhere Over The Ocean,8
Newcastle upon Tyne,8
"Killamarsh, England",8
Cambridgeshire,8
"Newcastle Upon Tyne, England",7
Singapore,7
London United Kingdom,7
Wild West of Wales,7
"City of London, London",7
Cheshire,7
Greece,7
"Birmingham, England",7
"Leicester, England",7
UK ,7
"New York, NY",7
Jakarta,7
Canada,7
"Andalusia, Spain",7
"Hampshire, UK",7
Northern Ireland,7
NYC,7
From Stellenbosch to London,7
"Cardiff, Wales",7
"Cornwall, UK",7
"Derby, England",7
"Lagos, Nigeria",7
Liverpool UK,7
Catalunya,7
Cumbria,6
Llangrallo,6
"Nice, Provence-Alpes-Côte d'Az",6
Great Britain,6
Australia,6
Scot | Inuit | Skandinavien,6
"Dublin, Ireland.",6
Nowhere,6
Bowmore Islay Scotland,6
Fife Scotland/Alcala Spain,6
"South Gloucestershire, UK",6
Cambridge.,6
"Aberdeen, Scotland",6
Deutschland,6
west cork,6
"North East, England",6
Sussex,6
"Toronto, Ontario",6
 #HTAFC-in-PremLge / YORKSHIRE,6
Guildford,5
Not Londonstan.,5
liverpool,5
 香港 ,5
Portugal,5
Cardiff,5
Madrid,5
South Africa,5
"Budapest, Hungary",5
Dark Side of the Moon,5
"Swansea, Wales",5
Worldwide,5
Devon England,5
"Dublin, Ireland",5
Bretagne,5
"Enfield, UK, Europe",5
Hong Kong,5
Oxford,5
Scotland is European,5
Glasgow Scotland,5
Cambridge UK,5
Lytham St Annes,5
"Bristol, UK",5
"Hook, Hampshire, England",5
Universe,5
"Geneva, Switzerland",5
Bristol,5
"Marlborough, UK",5
"London, Milan, Outer Hebrides",5
New Jockveria,5
Cambridge,5
London Europe ,5
"Florida, USA",5
Manchester-Lancashire ENGLAND,5
Canterbury,5
"California, USA",5
Virginia,4
scotland,4
the shadows.,4
Brexit Buggered Blighty,4
Disunited Kingdom,4
LDN,4
"York, England",4
"UK, Europe",4
Stone Staffordshire,4
Stratford upon Avon,4
"Eu, France",4
nowhere man.,4
Westminster,4
"North Carolina, USA",4
Wales,4
"Co Tyrone, N Ireland, UK",4
"Leamington Spa, England",4
glasgow,4
uk,4
Speaker's Chair,4
Yorkshire and The Humber,4
Kinross,4
Kashan,4
"London & France, mostly",4
"Greenwich, London",4
Calne,4
"Royal Tunbridge Wells, England",4
London/Melbourne/Herefordshire,4
"Barcelona, Catalonia",4
"London, UK, European Union",4
"Belfast, Northern Ireland",4
citizen of the world,4
LONDON,4
Frankfurt,4
Leeds,4
"Epsom, UK",4
"Stafford, England",4
"London, Poole....Kreuzberg",4
"Norwich, UK",4
Euro Parliament and NW Eng UK,4
Belfast,4
Land of Hope and Glory.,4
DURHAM,4
northumberland. uk.,4
Derbyshire,4
"Liverpool, UK",4
"Kildare, Ireland",4
Catalonia,4
"The Swamp, Scotland",4
"Grimsby, England",4
"Walthamstow, London",4
Cymru,4
"Leeds, UK",4
Winchester,4
Glasgow ,4
"Northern Ireland, UK",4
California,4
"Saxony, Germany",4
"Earth, EUrope, UNITED Kingdom, England, Kent.",4
"Barnsley, England",4
New York,4
"Region of Murcia, Spain",4
BARNSLEY,4
Middle England,4
Jakarta Selatan,4
Sweden,4
"Oxfordshire, England",4
Wangland,4
Wales ,4
Zeta Reticuli &Epsilon Eridani,3
"The Hague, South Holland",3
"Chester, England",3
Northern England,3
Teresa May's deportation list,3
Ireland / Northern Ireland,3
Central Fife,3
South,3
東京,3
"West Bridgford, Nottingham",3
"Washington, D.C.",3
Stoke on Trent,3
"San Diego, CA",3
"Lincoln, England",3
London | Somerset,3
"@SussexUni, Brighton, England",3
Bournemouth,3
Ayrshire,3
Luxembourg,3
South West London,3
Nottingham,3
"Boston, MA",3
east ren SNP and Warriors fan,3
Gods Kingdom,3
"Bradford, England",3
Island of Ireland,3
"Great Malvern, England",3
Amsterdam,3
"Bath, England",3
"East Anglia, UK",3
"Preston, England",3
"Texas, USA",3
"Wigan, England",3
"Grimsby, N E Lincs, England",3
"Northern Ireland, United Kingdom",3
